titulo,autor,anio,estante_numero,estante_seccion,piso,edificio,sede
Children of the Corn IV: The Gathering,Sonny Hebbes,2001,13,Training,56,CN,Dongshan
"Company, The",Albina Scamadine,1996,14,Product Management,79,ID,Margasari
The Land Before Time VI: The Secret of Saurus Rock,Winnah Dekeyser,2005,61,Engineering,21,PL,?azy
"Mouse That Roared, The",Gilbertine Raison,2000,62,Sales,47,PT,Barqueiro
"Last Run, The",Shaughn Tapply,1997,4,Product Management,31,RU,Vazhiny
"Adventures of Sebastian Cole, The",Karoly Bortolini,2002,58,Support,53,CN,Wuying
"Messenger, The (Ulak)",Arlana Elverston,1996,99,Business Development,28,FI,Karis
Sanatorium,Edythe Domoni,1995,27,Human Resources,96,PL,Niebylec
Making Love,Art Benini,2010,98,Product Management,73,PH,Bayawan
Chinese Odyssey 2002 (Tian xia wu shuang),Genvieve Ballsdon,2000,12,Sales,98,CN,Bayang
Tokyo Fist (Tokyo ken),Shanon Stetlye,1998,98,Product Management,48,RU,T?playa Gora
Things You Can Tell Just by Looking at Her,Heath Trazzi,2004,69,Business Development,57,AR,Patqu?a
Bob Saget: That Ain't Right,Harmon Borrows,2010,61,Marketing,96,UA,Kulykiv
Venus Beauty Institute (V?nus beaut?),Dianne Casali,2004,60,Accounting,33,CN,Yuanmou
Con Air,Godfrey Ciccottio,2009,27,Research and Development,7,CN,Yuanyang
Beyond Rangoon,Minette Vuitte,2006,78,Human Resources,34,ID,Singosari
Katatsumori,Pall Wolfindale,1955,74,Product Management,86,JO,?Izr?
Free Fall,Giulietta Snoday,1989,52,Training,72,PW,Koror
Penguins of Madagascar,Fairleigh Stump,2010,10,Training,53,US,Salt Lake City
"Fragile Trust: Plagiarism, Power, and Jayson Blair at the New York Times, A",Netti Cannicott,1999,52,Training,67,RU,Tomsk
Bungee Jumping of Their Own (Beonjijeompeureul hada),Minnaminnie Darinton,1993,46,Product Management,99,CN,Wenfeng Zhen
"Moment of Truth, The (Il momento della verit?)",Nikolia Caldow,1992,3,Business Development,79,RU,Georgiyevsk
Mad Dog Time,Dallon Harefoot,1985,54,Research and Development,31,BD,Baniachang
Paris Blues,Steffie Michallat,2002,20,Research and Development,73,IE,Drumcondra
'Neath the Arizona Skies,Latrina Micklewright,2001,22,Support,43,NO,Oslo
To Cross the Rubicon,Cleon Tellenbroker,2006,70,Engineering,86,ZA,Ballitoville
"Source, The",Willey Abrahamsen,2009,83,Services,58,CN,Hushi
Jim Jefferies: BARE,Ginnie Itshak,2012,6,Research and Development,39,PH,Union
Jaws 3-D,Aksel Greengrass,1994,23,Legal,74,CA,Cochrane
Ernest Saves Christmas,Daffi Slyford,2000,45,Sales,49,KZ,Burunday
One Lucky Elephant,Curtis Meriel,2007,65,Legal,10,US,Milwaukee
Neds,Lacy Lanfear,2003,69,Human Resources,6,CZ,Bu?t?hrad
Mr. Deeds,Meyer Blackburn,2010,60,Support,95,HR,Ku?e
Happy We (Tv? killar och en tjej),Myrtia Stuer,1997,47,Accounting,52,MK,????????
Thin Ice,Deane Worley,1995,75,Legal,77,CV,Calheta
alaskaLand,Murdock Yewman,1984,28,Marketing,89,TH,Lamduan
Brother (Hermano),Cross Melato,2004,61,Business Development,56,MK,Demir Hisar
In Search of a Midnight Kiss,Lyndel Findlater,1985,28,Sales,49,PH,Prinza
Bad Company,Merrill Jagoe,2012,67,Services,9,ID,Olejet
The Happy Road,Sophey Wateridge,2000,13,Marketing,97,PH,Tartaro
The .44 Specialist,Valaree Antoniottii,2007,93,Research and Development,17,CA,Hearst
Arbitrage,Brucie O' Quirk,1977,5,Training,45,CN,Nanzhao
Resident Evil: Extinction,Edlin Kneesha,2001,83,Accounting,34,ID,Pulosari
Death Hunt,Jemimah Ivanov,2003,92,Research and Development,34,CZ,He?man?v M?stec
My Sons (Musuko),Price Guirardin,1995,83,Product Management,74,VN,Thanh Xu?n
"Untouchables, The",Paulette Lemmanbie,2010,16,Human Resources,73,CN,Long?an Chengxiangzhen
"Lord of the Rings: The Two Towers, The",Betsy Kimmons,2006,55,Human Resources,97,CN,Aozai
Dr. Gillespie's New Assistant,Harwilll Dahlborg,2012,9,Human Resources,99,PH,Tanza
"Battle of Britain, The (Why We Fight, 4)",Bruce Presidey,1992,67,Sales,41,NL,Hoorn
"Crying Game, The",Biddie Bexley,1997,43,Product Management,80,CO,El Retorno
Hearts of Darkness: A Filmmakers Apocalypse,Alfi Wagstaffe,1995,58,Sales,63,RU,Kropotkin
Winning Streak,Raymond Bonds,1987,4,Training,38,ID,Cibinong
"Town, The",Brenn Cranefield,1992,59,Research and Development,35,HR,Lepoglava
"Great Mouse Detective, The",Corina Ledbury,2012,54,Support,25,US,Peoria
Urgh! A Music War,Forest Sussans,2000,89,Engineering,19,MN,Javarthushuu
Fast Lane,Edy O Sullivan,2011,72,Business Development,47,CZ,Vnorovy
"Brass Teapot, The",Zsa zsa Hagart,1997,35,Marketing,38,CN,Wuxiang
Night of the Comet,Bettine Gilders,1988,91,Accounting,2,PH,Daraitan
Some Girl(s),Gale Truluck,1999,19,Human Resources,46,ID,Margasana
Underworld: Awakening,Gretchen Elles,2004,62,Accounting,72,JP,Kameyama
"Trip, The",Lucas Assiratti,2001,6,Support,61,BR,Itarana
Act of Violence,Tiphany Totman,2005,28,Marketing,36,CO,Jenesano
El Ni?o,Ettie Bozworth,2004,94,Sales,4,MK,?air
Joe,Marni Franzolini,2000,82,Research and Development,100,MA,Tiout
M?tisse (Caf? au Lait),Rudolf McCreagh,1998,43,Accounting,60,ID,Panoongan
Deep Cover,Caleb Jatczak,2013,82,Marketing,25,VN,Hai Ri?ng
Brokeback Mountain,Roxi Vanderplas,2010,42,Research and Development,2,ID,Sukorejo
Borderline,Virgilio Delgadillo,1993,86,Sales,87,CN,Jiancheng
Allan Quatermain and the Lost City of Gold,Koren Eliot,2010,29,Engineering,20,LT,?ventoji
Double Impact,Cort Toseland,2009,59,Services,64,PL,Laliki
"Dirty Dozen, The: The Fatal Mission",Olympia De La Haye,1991,43,Marketing,87,BY,Byerazino
Slappy and the Stinkers,Myranda McKeevers,1993,66,Services,73,MX,Providencia
Dragon Ball Z the Movie: The World's Strongest (a.k.a. Dragon Ball Z: The Strongest Guy in The World) (Doragon b?ru Z: Kono yo de ichiban tsuyoi yatsu),Lishe Croster,2007,1,Engineering,5,TZ,Bukonyo
So I Married an Axe Murderer,Hyacinth Cornau,2009,92,Business Development,65,CN,Wutong
"Short Film About John Bolton, A",Glenn Cregeen,2011,17,Legal,89,MN,Darhan
"Taira Clan Saga, The (Shin heike monogatari)",Cordy Wonfor,1987,20,Marketing,40,KM,Oussivo
Tromeo and Juliet,Gabriel Tibb,2001,36,Accounting,46,CN,Shigutang
The Wait,Seana Ixor,1996,47,Business Development,25,ID,Peuara
Eve's Bayou,Meredith Marjoribanks,1989,89,Business Development,93,GB,Denton
Driving Lessons,Grayce Hails,2000,27,Marketing,19,ID,Lokuuy
Thank Your Lucky Stars,Marv Birckmann,1998,75,Support,15,BG,K?rdzhali
"Limey, The",Nikola Coleshill,2004,56,Marketing,49,PL,Piasek
Werner - Volles Roo???,Sansone Malicki,2013,66,Services,95,RU,Bud?nnovsk
My Sons (Musuko),Tommi Grevel,2006,33,Training,61,MG,Ihosy
"Last Laugh, The (Letzte Mann, Der)",Tallou McCromley,1983,70,Product Management,65,CN,Junxi
Murder by Numbers,Aristotle Fonso,1995,82,Human Resources,30,UA,Marshintsy
Young Tom Edison,Jaime Purchon,1994,71,Business Development,90,ID,Pancoran
"Ballroom, The (Chega de Saudade)",Charmion Rodie,2009,57,Accounting,5,PH,General Luna
"Witches, The (aka Devil's Own, The)",Jannelle Pole,2006,62,Human Resources,26,NI,Matagalpa
Safe Passage,Honey Goatman,2006,31,Engineering,57,AL,Gradisht?
Omega Doom,Daffie Lickorish,2004,63,Research and Development,74,RU,Baryshevo
Dumb & Dumber (Dumb and Dumber),Craig Domenicone,1996,61,Legal,54,KZ,Tobol
Vatel,Berkly Guilder,2005,44,Marketing,18,SE,Nybro
Another You,Dame Cuddehay,2008,13,Accounting,51,PL,Chodzie?
Fahrenheit 9/11,Vanya Abrahams,1989,50,Research and Development,92,KG,At-Bashi
Freeway,Kissie Alger,1996,2,Sales,81,PH,San Sebastian
Turn Left at the End of the World (Sof Ha'Olam Smola),Natalina Farraway,1989,61,Training,64,CN,Yuefeng
Boy A,Courtney Liebmann,1983,49,Services,77,RU,Bratsk
Friends with Money,Corly Lampard,1996,65,Accounting,22,MY,Melaka
It Happened to Jane,Gerardo Gehrts,2009,24,Marketing,52,UA,Kodyma
Bloody Birthday,Beth Hurles,2003,18,Support,93,CN,Qincheng
Trapped Ashes,Terence Smythin,1986,36,Accounting,31,MX,Benito Juarez
See No Evil,Kiah Iacobucci,2012,37,Support,80,US,Milwaukee
What Men Talk About,Alick Leif,1994,32,Accounting,77,PT,Bairro do Marga?a
"Adventures of Sebastian Cole, The",Lancelot Flamank,1999,20,Business Development,93,US,Montgomery
West Is West,Zea Jeannesson,2009,61,Marketing,22,ID,Binafun
"Dinosaur Project, The",Ignazio Lecount,2000,89,Engineering,66,AR,Puerta de Corral Quemado
"To Do List, The",Fallon Ben-Aharon,2001,70,Business Development,82,SE,Bromma
Grandmother,Bary Dillon,1994,33,Human Resources,27,CU,Madruga
Blind Spot: Hitler's Secretary (Im toten Winkel - Hitlers Sekret?rin),Elenore Fosserd,1992,94,Marketing,57,CN,Huaguo
"Crowd, The",Lucienne Girardengo,2008,48,Accounting,42,US,Grand Rapids
Cadillac Man,Kleon Rosenauer,2004,87,Product Management,16,BS,Governor?s Harbour
"Shepherd: Border Patrol, The",Tobie Van Halle,2011,38,Engineering,24,PE,Tisco
Snakehead Terror,Hector Bamb,1994,28,Business Development,77,UA,Bilhorod-Dnistrovs?kyy
Radio,Tiffie Stedall,2003,21,Business Development,77,CN,Baimangpu
But I'm a Cheerleader,Cirilo Drinnan,2001,98,Sales,70,ID,Pucangkrajan
"Affair of the Heart, An",Merrilee Woolis,1998,23,Product Management,14,ID,Ringinrejo
"Lost, The",Arley Lantuffe,2002,68,Human Resources,4,CN,Pingdong
Heckler,Julius Shera,2009,91,Services,7,PH,Libon
Garbo the Spy (Garbo: El esp?a),Alvie Grahame,1987,82,Marketing,12,CN,Yunlu
Gone,Troy Letchmore,1995,94,Sales,44,FR,Marne-la-Vall?e
"Passion of Darkly Noon, The",Hi Stapley,2007,20,Services,49,FR,Rungis
April Story,Aluino Howett,1996,17,Human Resources,89,CN,Zhongcheng
Case 39,Redford Shrawley,2001,91,Legal,65,TJ,Palos
It's Alive,Teodora Ferreri,2005,47,Human Resources,32,CZ,L?n?
Looking for Maria Sanchez,Kerrill Brobeck,2006,82,Accounting,10,TH,Wichit
"Bamba, La",Neddie Bessant,2003,53,Research and Development,62,PH,Bone South
Possession,Mattheus Probyn,1994,51,Business Development,66,PH,Rajal Norte
Kissing a Fool,Nike Snelgrove,2012,36,Training,9,PE,Palcamayo
Japanese Summer: Double Suicide (Muri shinj?: Nihon no natsu),Hort Lichfield,2011,40,Sales,50,CN,Fenjie
Up!,Broddy Pezey,1992,93,Support,1,ID,Napu
Cargo,Kevin Witcherley,1996,33,Sales,32,JO,Al Kittah
"Nugget, The",Jedediah Ferfulle,1991,64,Marketing,11,PS,Ban? Zayd
Forbidden,Sydney Samarth,2011,81,Legal,28,MX,Lazaro Cardenas
Ulee's Gold,Hugo Zecchinii,1996,47,Support,74,RW,Kigali
Voyage to the End of the Universe (Ikarie XB 1),Petronella Pesselt,1997,10,Legal,39,PE,Trinidad
"Early Years: Erik Nietzsche Part 1, The (De unge ?r: Erik Nietzsche)",Tucker Forsdyke,1992,33,Sales,69,BR,S?o Sebasti?o do Ca?
Gaudi Afternoon,Ev Brouard,2010,50,Legal,82,JP,Tenri
Delicacy (La d?licatesse),Gerhardt Pavlata,1998,35,Product Management,47,SE,V?stervik
"Pride of the Yankees, The",Foss Gentreau,1988,28,Support,93,ID,Kotingnatagete
Katt Williams: Priceless: Afterlife,Zebulen Weagener,2011,24,Accounting,83,ID,Laiponda
My Chauffeur,Balduin Stummeyer,2001,91,Product Management,30,MA,Temara
Farewell to Matyora,Hamilton Gillam,1997,51,Services,27,ID,Rote
"Interview, The",Ursuline Blandford,2009,32,Engineering,69,PL,Krzepice
"End of Poverty, The",Vincenty O' Shea,1995,81,Support,3,CN,Meixi
The Pokrovsky Gates,Miof mela Waterfall,2007,11,Training,45,LB,Bcharr?
A Cinderella Story: Once Upon a Song,Katie Aldington,1997,4,Training,47,PT,Chav?o
"Ladies Man, The",Celestyn Maber,1988,51,Human Resources,63,FR,Metz
Hellhounds on My Trail,Christean Jennemann,1992,23,Engineering,57,CN,Chahe
So Dear to My Heart,Deerdre Ferry,2007,65,Business Development,45,CN,Tiannan
Still Waiting...,Sophia Ordish,2006,6,Marketing,90,RU,Sol?tsy
All In This Tea,Bev Slopier,2009,82,Product Management,34,TH,Ban Na San
"Banger Sisters, The",Goddart Ledrane,1998,61,Product Management,79,LV,Priekule
Tales of Ordinary Madness (Storie di Ordinaria Follia),Kelly Buxcy,2010,11,Support,98,SE,J?rf?lla
The Violent Professionals,Cassi Croley,2003,86,Legal,19,CN,Fuliang
"Cheat, The",Ellswerth Raoult,1993,73,Engineering,34,NI,San Rafael del Sur
Electra Glide in Blue,Jojo MacKessock,2010,75,Product Management,29,KM,Chandra
Brother (Brat),Hartwell Guillot,1985,25,Product Management,77,CN,Xiaolukou
"Actress, the Dollars and the Transylvanians, The (Artista, dolarii si Ardelenii)",Abel Rippon,2009,34,Product Management,7,HT,Thomassique
Hen Hop,Brenda Manilow,1993,41,Services,70,ID,Kebonkaret
Kiss Me Goodbye,Hastie Semple,2009,7,Human Resources,74,KG,Kyzyl-Kyya
"Andromeda Strain, The",Field Bradlaugh,2011,25,Business Development,37,BR,Catu
Wake Wood,Clint McIlheran,2010,70,Marketing,92,RU,Ol?ginskaya
"Lost Honor of Katharina Blum, The (Verlorene Ehre der Katharina Blum oder: Wie Gewalt entstehen und wohin sie f?hren kann, Die)",Patti Di Antonio,2001,53,Research and Development,2,MA,El A?oun
36 fillette,Lem Ringer,1998,58,Product Management,93,GH,Obuasi
Katt Williams: Priceless: Afterlife,Julieta Antonignetti,2000,73,Training,70,GR,Ouranoupolis
BFFs,Harp Lesurf,1999,40,Services,5,AT,St. Anton an der Je?nitz
Casualties of War,Carolee Rowney,2010,31,Marketing,66,JP,Sugito
Diary of a Wimpy Kid,Beaufort Chaucer,1994,79,Accounting,31,PH,Bangan-Oda
Moonstruck,Osmund Knighton,2002,11,Engineering,37,GR,Kass?ndreia
"Apparition, The",Raymund Rosenwasser,1985,32,Training,34,ID,Patalan
Take Shelter,Glen Persich,1985,20,Business Development,33,CN,Wangcun
Last Tango in Paris (Ultimo tango a Parigi),Charity Spohr,1993,46,Training,33,PT,Queluz de Baixo
Time Freak,Jacqui Buckenham,2012,86,Engineering,1,NO,Sandefjord
"Personals, The (Zheng hun qi shi)",Philbert Astlet,1967,27,Services,5,SE,Nacka
"Curse of the Werewolf, The",Dayna Christmas,2008,67,Training,30,CN,Jiefang
Wind Across the Everglades,Laural Archibould,2009,99,Product Management,38,CZ,Rumburk
"Lives of a Bengal Lancer, The",Desmund Drewett,2009,23,Research and Development,30,PH,Lapaz
Nativity 2: Danger in the Manger!,Jocelyne Bastie,2010,4,Human Resources,54,CN,Shiguai
Christmas Carol: The Movie,Ernestus Estevez,2006,45,Business Development,46,RU,Smolino
Bal (Honey),Lorilyn Yearne,1967,69,Services,93,CN,Doushan
"Bobby Jones, Stroke of Genius",Ring Thon,2000,97,Business Development,40,PT,Pinhal General
Becoming Jane,Saunders Frenchum,1991,9,Sales,2,ID,Pondokaso
Flesh Gordon,Bamby Aggio,1988,12,Engineering,11,PH,Paitan Este
All Quiet on the Western Front,Mae Trenbay,1998,25,Accounting,33,BF,Kombissiri
Foolproof,Miles Holehouse,2004,75,Product Management,4,CN,Gongrong
"Child, The",Cristina Klossmann,2008,80,Business Development,30,CA,Concord
Kiss Me Goodbye,Alverta Brinded,1988,9,Support,71,ID,Bofuer
009 Re: Cyborg,Abramo McVittie,1999,76,Accounting,84,CO,San Diego
Bustin' Loose,Idaline Avrahamof,2006,43,Sales,38,VN,Minh L??ng
Hanging Up,Amalia Hartmann,1992,41,Sales,18,BD,Jam?lpur
Not My Type,Eugenie Dougherty,2007,76,Engineering,97,SE,Sk?vde
Inseparable,Mil Mortell,2000,9,Engineering,6,PT,Areeiro
"Trip to the Moon, A (Voyage dans la lune, Le)",Vitoria Laskey,1996,21,Marketing,83,HR,Dubrava
Rising Sun,Melisse Fynn,2002,38,Support,14,MY,Ipoh
Waterloo Bridge,Catriona Braidon,2012,63,Marketing,84,ID,Kotawaikabubak
"Study in Choreography for Camera, A",Fidelity Stovin,2003,66,Human Resources,88,PH,San Miguel
Islander,Dorothee Hendricks,2012,17,Legal,35,PH,Libertad
"Omega Man, The",Brien Elliston,2003,96,Engineering,76,CN,Heishui
"Bells of St. Mary's, The",Joelie Gabits,1995,76,Legal,65,SY,Al M?lik?yah
"Power of Nightmares, The: The Rise of the Politics of Fear",Bealle Durward,2013,33,Support,61,CN,Zhonghuopu
Vision (Vision - Aus dem Leben der Hildegard von Bingen),Dasi Cockren,2012,2,Engineering,90,CN,Xinfengjie
The Siege of Firebase Gloria,Kathe Goggins,2012,1,Support,2,CN,Qi?an
Operation Dumbo Drop,Adair Bemrose,2006,75,Research and Development,6,CN,Daji
Hidalgo,Gennifer Ewbanche,2010,25,Research and Development,14,CN,Shuangtang
French Film,Min Coppeard,1998,46,Engineering,13,PL,Sobienie Jeziory
"Go-Between, The",Cesar Bellay,2004,79,Business Development,31,PH,Dangcalan
200 M.P.H.,Dosi St. Queintain,1990,82,Sales,46,CN,Lujing Zhen
Nicht mein Tag,Lucias Evert,2003,24,Engineering,24,CN,Yitang
Twice Upon a Time,Kittie Tattoo,1993,25,Support,35,JM,Cambridge
"Frankenstein Syndrome, The",Trever Sidebotton,2001,15,Training,85,CN,Yushan
Fire-Eater (Tulennielij?),Herold Syred,2005,74,Business Development,23,IE,Kill
Romanzo Criminale,Georgena Beneyto,2010,20,Marketing,15,SD,El Bauga
Act Da Fool,Hiram Jarrel,1987,49,Legal,47,CN,Lusigang
Industrial Symphony No. 1: The Dream of the Brokenhearted,Marshall Davidek,2002,60,Research and Development,80,CN,Yeshan
Teachers,Caresa Shewring,2007,99,Sales,36,CN,Xinhua
"Three Burials of Melquiades Estrada, The",York Tanfield,1985,19,Support,29,RU,Vilya
"Nutcracker, The",Raimundo Allawy,1997,2,Engineering,40,ID,Pisang
Sublime,Harris McKinnon,1985,3,Marketing,95,US,Las Vegas
"Demon in My View, A (Der Mann nebenan)",Patrica Orwin,1993,54,Training,74,ID,Balongmulyo
"Jazz Singer, The",Tabby Ravenshaw,2009,22,Human Resources,46,JP,Shinshiro
Sweeney Todd: The Demon Barber of Fleet Street,Gertruda Devlin,2006,62,Legal,25,SA,?ubarjal
Mad Bastards,Mavis Stedman,2001,32,Engineering,45,ID,Banda Layung
"Watcher, The",Nissa Colpus,1997,76,Support,5,ID,Kedungwringin Satu
Synth Britannia,Emmi Ashcroft,2009,25,Product Management,79,PK,T?nk
Soldier Blue,Roi Sitch,1974,42,Sales,49,CN,Huangmao
Almanya - Welcome to Germany (Almanya - Willkommen in Deutschland),Stillmann Stanyland,2000,88,Accounting,49,PL,Dzwola
Space Is The Place,Norrie Dawkins,2005,36,Support,16,CU,Arroyo Naranjo
Knocked Up,Mirelle Lilford,1994,11,Research and Development,34,BR,Guaratinguet?
History of Hell (Rosas H?llenfahrt),Kattie Forward,2004,70,Human Resources,45,RU,Novokuz?minki
"Five Pennies, The",Adi Everwin,2012,34,Human Resources,100,TH,Song
Sheitan,Deina Knath,2009,2,Marketing,35,PE,Bajo Pichanaqui
Appointment with Danger,Sandro Bletsoe,2000,99,Marketing,52,BO,La Cueva
The Hatchet Man,Alix Autry,1998,61,Research and Development,74,CN,Cikai
"Bakeneko: A Vengeful Spirit (Kaiby? nori no numa) (Ghost-Cat Cursed Pond, The)",Brockie Capstick,2004,67,Human Resources,87,RU,Bokhan
George Carlin: It's Bad for Ya!,Gerri Jerrolt,1986,29,Services,32,CN,Meixi
My First War,Kathryn Staniland,1993,92,Engineering,28,CO,Campoalegre
Live Free or Die Hard,Rosene Vannoort,2007,70,Engineering,77,NE,Dosso
Black Orpheus (Orfeu Negro),Otho South,2012,39,Services,98,BR,Palmeira
"Pacifier, The",Karalynn Found,2010,8,Human Resources,61,RU,Rayevskiy
Firelight,Julie Staner,1994,25,Support,16,PH,Apalit
"Little Mermaid 2: Return to the Sea, The",Aura McComas,1998,51,Accounting,82,BY,Dowsk
"Night in Heaven, A",Bernard Spat,1989,91,Accounting,61,ID,Ciampea
Ghost Machine,Sidonnie Crossan,1992,19,Business Development,31,PH,Palagao Norte
Raanjhanaa,Rory Grinter,2000,40,Business Development,69,FR,Saint-Maurice-l'Exil
Mimic 2,Jennie McIndrew,1966,3,Product Management,6,BR,Rolante
Gold Diggers of 1937,Jarad Persian,1981,84,Engineering,89,ID,Bilo
Inn of Evil (Inochi b? ni fur?),Virgil Capeling,2003,20,Legal,81,AM,Dalarik
Color of Night,Roderick Gounot,2009,92,Legal,59,HR,Gospi?
